date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-09-16,r2000,1858,1080,724,354,234,46,43,341,159,229,380,73,6,65.61,62.42,61.51,61.44,45.1,14.34,56.76,4.73,24.18
2024-09-16,scan,162,110,50,30,9,10,0,49,0,56,0,3,0,84.57,99.38,100.0,100.0,89.51,0.0,100.0,0.0,0.0
2024-09-16,sp500,499,383,115,111,29,6,2,37,10,63,23,59,1,73.15,78.16,75.75,77.22,63.93,13.71,74.8,2.42,9.07
2024-09-17,all,3926,2203,1560,800,521,158,49,609,567,520,893,100,22,61.61,59.14,56.75,54.42,43.59,13.69,49.3,5.18,31.84
2024-09-17,nasdaq,2802,1509,1151,565,373,112,46,460,533,406,769,42,21,56.41,53.12,50.52,46.93,37.93,14.76,41.11,5.9,38.23
2024-09-17,r2000,1858,1158,631,457,243,91,22,378,142,232,349,61,1,70.51,66.58,64.9,62.59,47.7,13.35,57.36,5.27,24.01
2024-09-17,scan,175,114,59,28,20,5,2,57,0,61,0,4,0,90.29,99.43,100.0,100.0,90.29,0.0,100.0,0.0,0.0
2024-09-17,sp500,499,275,223,73,68,5,1,34,10,59,18,25,0,72.34,79.76,77.96,78.83,67.13,11.69,76.41,2.42,9.48
2024-09-18,all,3926,1653,2088,740,701,76,58,642,549,491,961,61,25,59.2,58.98,55.64,53.72,44.31,14.11,48.75,5.05,32.1
2024-09-18,nasdaq,2802,1137,1520,502,482,67,48,479,519,386,830,27,25,53.79,52.8,49.37,46.05,38.4,15.36,40.36,5.79,38.49
2024-09-18,r2000,1858,849,934,422,368,34,29,403,131,226,369,37,2,69.06,66.52,63.55,62.04,49.05,13.46,56.81,5.27,24.45
2024-09-18,scan,176,102,73,47,27,5,0,70,0,52,0,7,0,90.91,100.0,100.0,100.0,94.32,0.0,100.0,0.0,0.0
2024-09-18,sp500,499,209,285,82,74,1,3,36,10,46,21,13,0,69.94,79.76,75.75,78.43,67.33,12.1,76.21,2.22,9.48
2024-09-19,all,3926,2869,916,1196,402,273,40,704,527,675,738,163,29,68.7,65.49,62.1,56.51,46.42,11.62,50.77,5.81,31.8
2024-09-19,nasdaq,2802,1998,674,775,258,201,36,536,497,508,666,83,29,63.96,59.11,55.56,48.66,40.35,12.92,42.17,6.57,38.33
2024-09-19,r2000,1858,1511,313,648,153,149,16,446,123,322,233,89,1,79.46,74.8,70.25,65.5,51.92,10.54,59.31,6.21,23.94
2024-09-19,scan,176,147,27,69,13,26,0,68,0,76,0,15,0,94.89,99.43,100.0,100.0,93.75,0.0,100.0,0.0,0.0
2024-09-19,sp500,499,354,143,193,93,33,0,40,10,73,11,47,0,77.15,85.97,85.17,82.06,69.74,8.87,79.84,2.22,9.07
2024-09-20,all,3926,1205,2575,900,1962,91,210,684,515,876,621,82,43,62.09,61.8,57.76,55.09,47.75,12.73,49.6,5.55,32.12
2024-09-20,nasdaq,2802,879,1798,606,1259,77,159,536,484,646,566,44,41,58.2,56.28,51.48,47.39,41.68,13.97,41.2,6.28,38.55
2024-09-20,r2000,1858,469,1345,401,1194,38,130,417,127,407,187,43,9,68.79,69.4,64.25,63.52,53.65,11.86,57.83,5.71,24.6
2024-09-20,scan,169,59,108,54,96,2,6,61,0,91,0,4,0,94.67,100.0,100.0,100.0,97.63,0.0,100.0,0.0,0.0
2024-09-20,sp500,499,189,305,185,297,6,7,37,10,117,7,16,1,71.54,80.36,79.76,78.83,69.94,11.69,77.02,1.81,9.48
2024-09-23,all,3927,1611,2147,536,619,52,48,682,530,1151,550,76,46,58.99,60.59,55.88,54.19,47.93,12.92,48.97,5.28,32.83
2024-09-23,nasdaq,2803,992,1671,318,464,42,46,524,499,799,508,31,44,52.96,53.75,48.63,46.24,41.68,14.46,40.34,5.98,39.22
2024-09-23,r2000,1858,697,1097,248,319,19,13,414,127,554,159,21,8,64.8,67.3,61.22,62.48,53.6,12.41,56.78,5.71,25.1
2024-09-23,scan,166,70,95,25,28,3,0,65,0,115,0,4,0,96.39,98.8,100.0,100.0,98.8,0.0,100.0,0.0,0.0
2024-09-23,sp500,499,355,138,107,35,0,1,43,9,179,5,36,0,78.16,84.17,82.57,79.64,70.94,10.89,77.82,1.81,9.48
2024-09-24,all,3928,1998,1771,673,516,151,56,684,509,1052,538,109,28,58.87,61.4,56.47,54.82,49.19,12.09,49.35,5.52,33.03
2024-09-24,nasdaq,2804,1407,1261,474,366,123,42,519,479,751,498,61,26,53.73,54.91,49.46,47.06,42.51,13.44,40.96,6.16,39.43
2024-09-24,r2000,1858,935,865,305,228,68,33,415,125,498,154,41,6,62.8,66.67,61.01,62.59,54.73,11.97,56.78,5.82,25.43
2024-09-24,scan,147,83,64,22,14,6,0,52,0,94,0,0,0,93.88,100.0,100.0,100.0,98.64,0.0,100.0,0.0,0.0
